promise_id,party,year,page_number,manifesto_section,promise_text
PROMISE_00001,BJP,2014,0,Agriculture,"We will encourage the production of cereals, pulses and oils."
PROMISE_00002,BJP,2014,0,Agriculture,We will radically transform the Food Corporation of India (FCI).
PROMISE_00003,BJP,2014,0,Agriculture,We will enhance profitability in agriculture by ensuring a minimum of 50% profits over the cost of production.
PROMISE_00004,BJP,2014,0,Agriculture,We will provide cheaper agriculture inputs and credit.
PROMISE_00005,BJP,2014,0,Agriculture,We will introduce latest technologies for farming and high yielding seeds.
PROMISE_00006,BJP,2014,0,Agriculture,We will introduce soil assessment based crop planning and set up mobile soil testing labs.
PROMISE_00007,BJP,2014,0,Agriculture,We will implement and incentivize the setting up of the food processing industry and set up 'agro food processing clusters'.
PROMISE_00008,BJP,2014,0,Agriculture,"We will focus on the quality, productivity and trade of spices."
PROMISE_00009,BJP,2014,0,Agriculture,We will set up the 'Organic Farming and Fertilizer Corporation of India'.
PROMISE_00010,BJP,2014,0,Agriculture,We will reform the APMC act.
PROMISE_00011,BJP,2014,0,Defence & Security,We will undertake massive infrastructure development along the Line of Actual Control in Arunachal Pradesh and Sikkim.
PROMISE_00012,BJP,2014,0,Defence & Security,We will address infiltration and illegal immigrants in the Northeast.
PROMISE_00013,BJP,2014,0,Defence & Security,We will complete pending fencing work along India-Bangladesh and India-Myanmar border.
PROMISE_00014,BJP,2014,0,Defence & Security,We will deal with Insurgent groups with a firm hand.
PROMISE_00015,BJP,2014,0,Defence & Security,We will overhaul intelligence set up with special focus on coordination and integration.
PROMISE_00016,BJP,2014,0,Defence & Security,"We will train and technologically enable police to track, pursue, and prevent Cyber Crime."
PROMISE_00017,BJP,2014,0,Defence & Security,We will accord due priority to Safety and Security of tourists.
PROMISE_00018,BJP,2014,0,Defence & Security,We will revive the anti-terror mechanism and strengthen the role of NIA.
PROMISE_00019,BJP,2014,0,Defence & Security,We will reform the National Security Council to make it the hub of all sector-related assessments.
PROMISE_00020,BJP,2014,0,Defence & Security,We will completely revamp the intelligence gathering system by modernizing the intelligence department.
PROMISE_00021,BJP,2014,0,Defence & Security,We will provide State governments with all assistance to modernize their respective police forces.
PROMISE_00022,BJP,2014,0,Defence & Security,We will strengthen and expand the Civil Defence and Home Guards mechanism.
PROMISE_00023,BJP,2014,0,Defence & Security,We will chalk a national plan to address challenges posed by Maoist insurgency.
PROMISE_00024,BJP,2014,0,Defence & Security,"We will address the issue of reforms with regards to defence equipment, support services, and organizational reforms."
