promise_id,party,year,page_number,manifesto_section,promise_text
INC_2014_0001,INC,2014,0,Economy & Finance,We will put in place a charter of minimum socio-economic rights that includes Right to Health.
INC_2014_0002,INC,2014,0,Economy & Finance,We will put in place a charter of minimum socio-economic rights that includes Right to Pension.
INC_2014_0003,INC,2014,0,Social Justice & Minorities,We will put in place a charter of minimum socio-economic rights that includes Right to Homestead or Housing.
INC_2014_0004,INC,2014,0,Labour & Employment,We will put in place a charter of minimum socio-economic rights that includes Right to Social Security.
INC_2014_0005,INC,2014,0,Economy & Finance,We will put in place a charter of minimum socio-economic rights that includes Right to Dignity and humane working conditions.
INC_2014_0006,INC,2014,0,Labour & Employment,We will put in place a charter of minimum socio-economic rights that includes Right to Entrepreneurship that will protect and assist all those who seek to become entrepreneurs.
INC_2014_0007,INC,2014,0,Health,The Indian National Congress will increase health expenditure to 3% of GDP to support the Right to Health.
INC_2014_0008,INC,2014,0,Health,The Indian National Congress will provide universal and quality health care for all Indians (including free medicines) to support the Right to Health.
INC_2014_0009,INC,2014,0,Social Justice & Minorities,We will ensure affordable and quality housing for all to support the right to homestead/housing.
INC_2014_0010,INC,2014,0,Rural Development,The Indira Awaas Yojana will be expanded to cover all poor rural households to support the right to homestead/housing.
INC_2014_0011,INC,2014,0,Urban Development,The Rajiv Awaas Yojana will be expanded to cover all poor urban households to support the right to homestead/housing.
INC_2014_0012,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by ensuring that India has a globally competitive business and investment-friendly environment.
INC_2014_0013,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by continuing to take firm action to control inflation even in a difficult global economic scenario.
INC_2014_0014,INC,2014,0,Economy & Finance,"We will restore India to 8% plus growth rate within 3 years by promoting an open and competitive economy, open to global competition."
INC_2014_0015,INC,2014,0,Economy & Finance,"We will restore India to 8% plus growth rate within 3 years by promoting an open and competitive economy, open to domestic competition."
INC_2014_0016,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by ensuring a 10% growth rate in the manufacturing sector.
INC_2014_0017,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by ensuring a 10% growth rate in the manufacturing sector with a special emphasis on small and medium enterprises.
INC_2014_0018,INC,2014,0,Agriculture,We will restore India to 8% plus growth rate within 3 years by continuing on the path of making India a world leader in agricultural production.
INC_2014_0019,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by continuing on the path of making India a world leader in agro-industry.
INC_2014_0020,INC,2014,0,Agriculture,We will restore India to 8% plus growth rate within 3 years by focusing on increasing agriculture productivity by increasing investments in irrigation.
INC_2014_0021,INC,2014,0,Agriculture,We will restore India to 8% plus growth rate within 3 years by focusing on increasing agriculture productivity by increasing investments in agricultural value chains.
INC_2014_0022,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by focusing on increasing agriculture productivity by increasing investments in cold storage and warehousing.
INC_2014_0023,INC,2014,0,Agriculture,We will restore India to 8% plus growth rate within 3 years by focusing on increasing farmer incomes by increasing investments in irrigation.
INC_2014_0024,INC,2014,0,Agriculture,We will restore India to 8% plus growth rate within 3 years by focusing on increasing farmer incomes by increasing investments in agricultural value chains.
INC_2014_0025,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by focusing on increasing farmer incomes by increasing investments in cold storage and warehousing.
INC_2014_0026,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by introducing the Goods and Services Tax Bills in Parliament within one year.
INC_2014_0027,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by ensuring the Goods and Services Tax Bills are enacted within one year.
INC_2014_0028,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by introducing a new Direct Tax Code Bill in Parliament within one year.
INC_2014_0029,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by ensuring a new Direct Tax Code Bill is enacted within one year.
INC_2014_0030,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by ensuring that the unpredictable risk of retroactive taxation is avoided.
INC_2014_0031,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by investing more than 1 trillion dollars over the next decade on upgrading India's power infrastructure.
INC_2014_0032,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by investing more than 1 trillion dollars over the next decade on upgrading India's transport infrastructure.
INC_2014_0033,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by investing more than 1 trillion dollars over the next decade on upgrading India's other development infrastructure.
INC_2014_0034,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by supporting more transparent Public Private Partnerships for hard infrastructure development.
INC_2014_0035,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by supporting more competitive Public Private Partnerships for hard infrastructure development.
INC_2014_0036,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by supporting more better-regulated Public Private Partnerships for hard infrastructure development.
INC_2014_0037,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by supporting more transparent Public Private Partnerships for soft infrastructure development.
INC_2014_0038,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by supporting more competitive Public Private Partnerships for soft infrastructure development.
INC_2014_0039,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by supporting more better-regulated Public Private Partnerships for soft infrastructure development.
INC_2014_0040,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by promoting a more flexible labour policy as needed for maintaining competitiveness.
INC_2014_0041,INC,2014,0,Labour & Employment,We will restore India to 8% plus growth rate within 3 years by moving towards international labour standards for our workers.
INC_2014_0042,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by promoting greater integration with the global economy.
INC_2014_0043,INC,2014,0,Economy & Finance,"We will restore India to 8% plus growth rate within 3 years by encouraging Foreign Direct Investment, especially in labour intensive sectors."
INC_2014_0044,INC,2014,0,Economy & Finance,"We will restore India to 8% plus growth rate within 3 years by ensuring that growth is socially responsible, and comes from genuine value addition, not from stripping our natural resources."
INC_2014_0045,INC,2014,0,Economy & Finance,"We will restore India to 8% plus growth rate within 3 years by ensuring that growth is socially responsible, and comes from genuine value addition, not from underpaying our labour."
INC_2014_0046,INC,2014,0,Infrastructure,We will restore India to 8% plus growth rate within 3 years by ensuring that all our towns are connected with high-speed broadband connectivity within 18 months.
INC_2014_0047,INC,2014,0,Infrastructure,We will restore India to 8% plus growth rate within 3 years by ensuring that all our Gram Panchayats are connected with high-speed broadband connectivity within 18 months.
INC_2014_0048,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by continuing efforts to track down and recover black money.
INC_2014_0049,INC,2014,0,Economy & Finance,We will restore India to 8% plus growth rate within 3 years by appointing a Special Envoy to pursue the agenda of tracking down and recovering black money.
INC_2014_0050,INC,2014,0,Infrastructure,We will provide skills-training to 10 crore youth over the next 5 years.
INC_2014_0051,INC,2014,0,Labour & Employment,We will provide employment opportunities to 10 crore youth over the next 5 years.
INC_2014_0052,INC,2014,0,Economy & Finance,We will ensure that every citizen has a bank account within the next five years.
INC_2014_0053,INC,2014,0,Youth & Sports,We will implement the National Youth Policy.
INC_2014_0054,INC,2014,0,Education,We will expand higher education opportunities with a focus on students from low-income families.
INC_2014_0055,INC,2014,0,Economy & Finance,We will scale up skill development and training to open up new opportunities for upward economic mobility for our people.
INC_2014_0056,INC,2014,0,Economy & Finance,We will open up our higher education system to investment from India.
