promise_id,party,year,page_number,manifesto_section,promise_text
BJP_2014_0001,BJP,2014,0,Governance & Anti-Corruption,We will place Centre-State relations on an even keel through consultation.
BJP_2014_0002,BJP,2014,0,Governance & Anti-Corruption,We will evolve a model of national development driven by the states.
BJP_2014_0003,BJP,2014,0,Governance & Anti-Corruption,We will ensure fiscal autonomy of States while urging financial discipline.
BJP_2014_0004,BJP,2014,0,Governance & Anti-Corruption,We will create 'Regional Councils of States' for common problems.
BJP_2014_0005,BJP,2014,0,Governance & Anti-Corruption,"We will encourage cooperation among states on security, inter-state disputes, and tourism."
BJP_2014_0006,BJP,2014,0,Rural Development,We will evolve state-specific developmental priorities for hill and desert states.
BJP_2014_0007,BJP,2014,0,Economy & Finance,We will focus on developing and strengthening the economy of UTs.
BJP_2014_0008,BJP,2014,0,Urban Development,We will promote tourism in UTs.
BJP_2014_0009,BJP,2014,0,SC/ST/OBC,We will promote tribal welfare in UTs.
BJP_2014_0010,BJP,2014,0,Infrastructure,We will promote infrastructure and coastal area development in UTs.
BJP_2014_0011,BJP,2014,0,Rural Development,We will protect and ensure integrated development of island territories.
BJP_2014_0012,BJP,2014,0,Governance & Anti-Corruption,We will revive 'National Development Council' and 'Inter-State Council'.
BJP_2014_0013,BJP,2014,0,Foreign Policy,We will involve state Governments in promotion of foreign trade and commerce.
BJP_2014_0014,BJP,2014,0,Economy & Finance,We will help states mobilize resources through investments.
BJP_2014_0015,BJP,2014,0,Rural Development,We will give highest priority to bringing eastern parts of India on par with western parts.
BJP_2014_0016,BJP,2014,0,Rural Development,We will empower Ministry of North-Eastern Region with a broader charter and non-lapsable funds.
BJP_2014_0017,BJP,2014,0,Infrastructure,We will enhance connectivity within the Northeast and to the rest of the country.
BJP_2014_0018,BJP,2014,0,Defence & Security,We will undertake massive infrastructure development along the Line of Actual Control in Arunachal Pradesh and Sikkim.
BJP_2014_0019,BJP,2014,0,Rural Development,We will address flood control in Assam and river water management.
BJP_2014_0020,BJP,2014,0,Labour & Employment,We will nurture job generating opportunities like tourism and IT in Northeast.
BJP_2014_0021,BJP,2014,0,Defence & Security,We will address infiltration and illegal immigrants in the Northeast.
BJP_2014_0022,BJP,2014,0,Defence & Security,We will complete pending fencing work along India-Bangladesh and India-Myanmar border.
